country,scope_label,kind,item_it,month,state
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,marzo,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,aprile,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,maggio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,giugno,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,luglio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,ottobre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,novembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,dicembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,gennaio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,febbraio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,meloni,maggio,listed_in_season
